rank,name,price,1h_change,24h_change,7d_change,market_cap,volume_24h,circulating_supply,page
,CoinMarketCap 20 Index DTFCMC20,$201.37,0.07%,0.03%,4.80%,"$6.71M$6,705,136","$1,496,4667.43K",33.29K CMC20,1
1,BitcoinBTC,"$95,098.50",0.07%,0.09%,4.98%,"$1.9T$1,899,604,377,708","$17,279,445,529181.72K",19.97M BTC,1
2,EthereumETH,"$3,319.45",0.04%,0.69%,7.05%,"$400.62B$400,619,881,928","$11,742,946,3223.53M",120.69M ETH,1
3,TetherUSDT,$0.9996,0.01%,0.01%,0.09%,"$186.79B$186,793,824,432","$49,466,982,87549.48B",186.86B USDT,1
4,BNBBNB,$944.06,0.23%,0.16%,3.51%,"$128.73B$128,734,059,051","$1,911,957,6602.02M",136.36M BNB,1
5,XRPXRP,$2.05,0.03%,0.45%,1.69%,"$124.96B$124,963,870,048","$1,378,672,753670.66M",60.78B XRP,1
6,SolanaSOL,$142.22,0.15%,1.59%,4.37%,"$80.43B$80,425,046,827","$2,255,263,93915.85M",565.46M SOL,1
7,USDCUSDC,$0.9996,0.01%,0.00%,0.01%,"$75.98B$75,977,992,383","$6,857,963,3346.86B",76B USDC,1
8,TRONTRX,$0.3167,0.45%,1.76%,6.02%,"$30B$30,002,006,303","$616,114,5051.94B",94.7B TRX,1
9,DogecoinDOGE,$0.1372,0.00%,0.21%,1.91%,"$23.11B$23,107,460,035","$612,599,5544.46B",168.36B DOGE,1
10,CardanoADA,$0.3932,0.09%,0.66%,0.77%,"$14.14B$14,143,153,476","$353,834,747899.67M",35.96B ADA,1
11,Bitcoin CashBCH,$593.14,0.21%,0.55%,9.10%,"$11.85B$11,852,428,386","$220,626,083371.95K",19.98M BCH,1
12,MoneroXMR,$592.39,1.50%,4.46%,19.78%,"$10.93B$10,927,798,190","$312,459,753527.44K",18.44M XMR,1
13,ChainlinkLINK,$13.77,0.04%,0.10%,4.27%,"$9.75B$9,751,919,908","$240,772,70317.48M",708.09M LINK,1
14,UNUS SED LEOLEO,$9.07,0.00%,0.45%,0.12%,"$8.36B$8,360,327,646","$1,245,445137.30K",921.69M LEO,1
15,HyperliquidHYPE,$25.83,0.07%,2.10%,5.74%,"$7.8B$7,804,945,165","$105,801,5254.09M",302.07M HYPE,1
16,StellarXLM,$0.2270,0.03%,0.24%,0.47%,"$7.36B$7,360,439,368","$132,711,341584.47M",32.41B XLM,1
17,SuiSUI,$1.76,0.39%,1.75%,2.30%,"$6.71B$6,708,867,549","$376,618,243212.88M",3.79B SUI,1
18,ZcashZEC,$398.31,0.65%,1.89%,4.04%,"$6.57B$6,568,895,289","$376,320,869944.79K",16.49M ZEC,1
19,Ethena USDeUSDe,$0.9997,0.00%,0.00%,0.06%,"$6.47B$6,470,665,506","$193,404,153193.44M",6.47B USDe,1
20,AvalancheAVAX,$13.61,0.06%,0.52%,1.20%,"$5.87B$5,865,850,698","$194,714,08214.30M",430.94M AVAX,1
21,LitecoinLTC,$75.41,0.02%,0.62%,7.23%,"$5.79B$5,788,116,504","$307,736,8444.08M",76.74M LTC,1
22,DaiDAI,$0.9997,0.01%,0.01%,0.01%,"$5.36B$5,363,995,298","$102,254,602102.27M",5.36B DAI,1
23,HederaHBAR,$0.1170,0.39%,1.84%,0.83%,"$5.01B$5,007,275,348","$93,600,349799.75M",42.79B HBAR,1
24,Shiba InuSHIB,$0.058389,0.17%,1.72%,3.29%,"$4.94B$4,943,341,898","$67,895,2358.09T",589.24T SHIB,1
25,World Liberty FinancialWLFI,$0.1681,0.18%,0.50%,0.34%,"$4.5B$4,495,853,345","$54,698,715325.55M",26.73B WLFI,1
26,CantonCC,$0.1152,0.78%,9.04%,13.24%,"$4.32B$4,316,471,231","$10,560,98291.63M",37.45B CC,1
27,ToncoinTON,$1.71,0.01%,0.35%,1.85%,"$4.17B$4,171,397,515","$65,752,15738.31M",2.42B TON,1
28,CronosCRO,$0.1013,0.25%,0.88%,0.40%,"$4.03B$4,033,583,396","$11,354,158112.05M",39.79B CRO,1
29,PayPal USDPYUSD,$0.9994,0.00%,0.04%,0.00%,"$3.72B$3,717,800,832","$24,269,25324.28M",3.71B PYUSD,1
30,PolkadotDOT,$2.14,0.40%,3.55%,1.92%,"$3.56B$3,560,549,034","$139,701,18965.01M",1.65B DOT,1
31,World Liberty Financial USDUSD1,$0.9987,0.00%,0.00%,0.09%,"$3.41B$3,407,318,932","$864,694,138865.76M",3.41B USD1,1
32,UniswapUNI,$5.31,0.06%,1.49%,3.39%,"$3.37B$3,374,610,711","$125,648,66223.64M",635.05M UNI,1
33,MantleMNT,$0.9548,0.64%,0.82%,2.56%,"$3.11B$3,106,213,288","$54,430,08357.00M",3.25B MNT,1
34,BittensorTAO,$272.87,0.06%,1.42%,3.39%,"$2.89B$2,892,046,357","$71,666,083262.63K",10.59M TAO,1
35,AaveAAVE,$173.01,0.05%,1.41%,3.92%,"$2.65B$2,650,038,225","$198,760,9401.14M",15.31M AAVE,1
36,Bitget TokenBGB,$3.77,0.16%,1.06%,7.31%,"$2.64B$2,639,100,853","$27,843,9207.37M",699.14M BGB,1
37,OKBOKB,$114.16,0.01%,0.54%,2.95%,"$2.4B$2,397,557,444","$11,854,449103.87K",21M OKB,1
38,PepePEPE,$0.055784,0.36%,1.01%,3.53%,"$2.39B$2,393,260,888","$260,512,10645.04T",413.77T PEPE,1
39,NEAR ProtocolNEAR,$1.70,0.31%,5.24%,0.35%,"$2.19B$2,192,166,456","$146,599,76386.02M",1.28B NEAR,1
40,Internet ComputerICP,$4.00,1.62%,0.19%,24.78%,"$2.19B$2,192,054,207","$135,767,87534.05M",547.25M ICP,1
41,Ethereum ClassicETC,$12.74,0.03%,1.61%,1.72%,"$1.98B$1,977,559,964","$60,911,3424.77M",155.17M ETC,1
42,MemeCoreM,$1.55,0.30%,1.83%,8.24%,"$1.95B$1,951,195,506","$8,604,5945.56M",1.25B M,1
